avenue,대로;수단;방법
no strings attached,아무 조건 없음
on standby,대기하고 있는
once and for all,단호하게;이번만
one of a kind,독특한 것
overlook,간과하다;너그럽게 봐주다
prior to,~에 앞서;~전에
ridicule,비웃다;조소하다
room rate,객실 요금
second to none,어느것에도 뒤지지 않는
straightforward,간단한;솔직한
suite,스위트룸;특실
take ~ into account,~을 고려하다;~을 참작하다
top-notch,최고의;일류의
touch down,착륙하다
unattended,방치된;내버려둔
weary,지치게 하다;지친
x-ray screening,X레이 검색대
ailment,병;질환
anorexia,거식증
asthma,천식
cavity,충치
crutch,목발
diabetes,당뇨병
diarrhea,설사
dosage,투약량;투약
expectant,임신한
fetus,태아
feverish,열이 있는
fracture,골절;균열
hospitalize,입원시키다
insomnia,불면증
intensive care unit,중환자실
leukemia,백혈병
malnourished,영양실조의
malpractice,의료과실
molar,어금니
neurosurgeon,신경외과 의사
neurotic,신경과민의;신경과민인 사람
numb,마비된;감각을 잃은
on one's feet,(병에서) 회복하여
outpatient,외래 환자
over-the-counter,처방전 없이 살 수 있는
perspiration,발한;땀
pharmaceutical company,제약 회사
pharmacist,약사
placebo,위약(플라시보)
pneumonia,폐렴
rash,발진;뾰루지;성급한
respiratory,호흡기의
sanitation,위생
scar,흉터;상처;상처를 남기다
seizure,발작
sling,(어깨에 매는) 삼각 붕대
sneeze,재채기
stroke,뇌졸중
terminally ill,불치병에 걸린;말기의
therapeutic,치료의;치료법의
ulcer,궤양
veterinarian,수의사
vomit,구토하다
ward,병동
assent,동의하다;찬성하다
be adept at,~에 능숙하다
blunder,큰 실수
breathe down one's neck,~을 끈질기게 감시하다
burn out,녹초가 되다;기진맥진하다
call it a night,일을 끝내다
call it a day,~을 그만하기로 하다
call off,~을 취소하다
cover letter,자기소개서
dead on one's feet,녹초가 되어
entail,수반하다;필요로 하다
fill a position,충원하다
first thing in the morning,무엇보다도 먼저
fringe benefit,복리후생
get ahead,출세하다
job opening,일자리
keynote address,기조연설
lucky break,좋은 기회
morale,사기;의욕
mull over,~을 숙고하다
night shift,야근
off-duty,비번의
paycheck,봉급;급료
predecessor,전임자;선배
presume,가정하다
profession,전문직;직업
put ~ on a back burner,~을 당분간 보류하다
put up with,~을 참다;~을 견디다
runaround,발뺌;회피
seasoned,노련한;경험 많은;양념한
shorthanded,일손이 모자라는
sick day,병가
stationery,문구류;사무용품
stationary,움직이지 않는;정지된
subordinate,종속된;부하;하급자
swamped,눈코 뜰 새 없이 바쁜
tackle,씨름하다;(문제에) 부딪치다;(일 등에) 착수하다
take a day off,하루 휴가를 얻다
telecommuting,재택근무
turnout,출석자 수
turnover,매출량;이직률
vocation,직업
willingly,기꺼이
a stitch in time,제때의 적절한 조치
adrift,표류해서
adversity,역경;불운
at the mercy of,~에 좌우되어
blaze,화재;불길
eventful,다사다난한
fall apart,무너지다;실패로 끝나다
fall through,실패하다
famine,기근;굶주림
fire drill,화재 대피 훈련
fire engine,소방차
get in to hot water,곤경에 빠지다
get out of hand,감당할 수 없게 되다
hardship,고난;고생
have a narrow escape,구사일생하다
incidental,우연히 일어나는
incident,사건;사고
misery,고통;비참
mortality rate,사망률
nuisance,골칫거리
ominous,불길한
oversight,간과;실수
peril,위험
put out,불을 끄다
reckless,무모한;부주의한
setback,방해;좌절
severity,격렬;혹독;심각(성)
shabby,초라한;낡아빠진
shatter,산산조각내다;파괴하다
sloppy,엉성한;부주의한
through thick and thin,언제나 변함없이
to make matters worse,설상가상으로
victimization,희생시킴
whereabouts,소재;행방
a slap in the face,거절;모욕
adorable,귀여운;사랑스러운
adore,무척 좋아하다
amiable,상냥한;호감을 주는
antisocial,비사교적인
ask out,데이트 신청하다
bachelor,미혼 남자
bereaved,사별한
bump into,~를 우연히 만나다
catch up,"(소식, 안부를) 이야기하다"
cherish,간직하다
close-knit,긴밀하게 맺어진
companionship,교제
despise,경멸하다
detest,혐오하다
down-to-earth,현실적인
easygoing,태평한;느긋한
fancy meeting you here,여기서 만나다니 반갑네요
farewell party,송별회
feast,축제;축하연
divorce,이혼
folk,사람들
forthright,솔직한;단도직입적인
give the cold shoulder,냉대하다
gracious,상냥한;친절한
have a crush on,~에게 반하다
have a falling-out,사이가 틀어지다
memorial service,추도식
nurture,양육하다
opinionated,고집이 센
out of line,건방진;주제넘은
out of the blue,갑자기;느닷없이
outgoing,사교적인;외향적인
outreach,봉사활동
patch things up,화해하다
reconcile,화해시키다;조정하다
reconciliation,화해;조정
reunion,동창회;재회
run into,~와 우연히 만나다
set A up with B,A를 B에게 소개시켜주다
shun,피하다;멀리하다
sociable,사교적인;외향적인
spinster,미혼 여성
spouse,배우자
throw a fit,흥분하다;발끈하다
turn down,~을 거절하다
vivacious,활기있는;쾌활한
widower,홀아비
afterward,그 이후;나중에
amass,모으다;축적하다
ancestry,조상;가문
antecedent,앞서는;선행하는
anthropology,인류학
arise from,~에서 기인하다
aristocracy,귀족;귀족사회
aristocrat,귀족
astrology,점성술
beset,포위하다
bygone,지나간;과거의
captivating,매혹적인
come to a close,끝나다
confer,수여하다
cradle,요람;발상지
dethrone,폐위하다
dictatorship,독재정권
ebb,사그라지다;썰물
ebb and flow,성쇠를 되풀이하다
enlightened,계몽된;개화된
enlist,입대하다
enthrone,왕위에 앉히다
feudalism,봉건제도
forerunner,선구자
heir to the throne,왕위 계승자
in restrospect,되돌아보면;회고해보면
inscribe,새기다
lineage,혈통;자손
mercenary,용병
